host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
09/12/2017;1;100;0;f;1;t;Bayside;Private_room_in_apartment;Private_room;1;1;1;30;1125;2;100;t
28/09/2013;3;87.640014;81.277545;f;3;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;2;1;1;3;250;15;100;t
08/12/2017;3;87.640014;81.277545;f;1;t;Sheepshead_Bay;Private_room_in_apartment;Private_room;2;1;1;30;1125;0;93.812903;t
06/06/2017;3;100;94;f;5;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;1;1;1;30;45;134;92;f
27/11/2017;3;87.640014;76;f;3;t;Cypress_Hills;Private_room_in_house;Private_room;2;1;2;30;31;32;97;f
18/04/2017;3;100;98;f;3;t;Harlem;Shared_room_in_apartment;Shared_room;1;1;1;30;1125;7;94;t
09/04/2013;3;100;57;f;5;t;Borough_Park;Private_room_in_apartment;Private_room;2;1;1;30;1125;30;97;f
09/12/2017;3;87.640014;81.277545;f;1;t;Chelsea;Entire_apartment;Entire_home-apt;4;2;2;30;1125;2;100;t
06/01/2017;3;87.640014;100;f;1;t;Harlem;Entire_apartment;Entire_home-apt;2;1;1;30;1125;52;92;t
14/06/2016;3;87.640014;81.277545;f;1;f;Bushwick;Private_room_in_apartment;Private_room;2;1;2;30;1125;4;95;t
03/11/2011;3;100;81;f;6;t;Flatlands;Entire_house;Entire_home-apt;8;3;3;7;28;14;86;f
30/09/2014;2;91;95;t;4;t;Jamaica_Estates;Shared_room_in_apartment;Shared_room;2;1;2;2;29;284;98;f
07/05/2017;3;100;91;t;6;t;Williamsbridge;Entire_house;Entire_home-apt;7;2;3;30;365;129;97;t
30/09/2014;3;87.640014;81.277545;f;1;f;Harlem;Private_room_in_apartment;Private_room;2;1;1;1;10;1;100;f
21/02/2014;3;100;100;f;2;t;Williamsburg;Private_room_in_apartment;Private_room;2;1;1;30;30;57;92;f
15/08/2010;3;100;88;f;1;f;Greenwich_Village;Entire_apartment;Entire_home-apt;2;1;1;8;35;6;100;f
